source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,impact_direction,source,corr_train,n_train
KOSPI,024110,KOSPI,267270,PARTNER,NEGATIVE,price,-0.0729,1182
KOSPI,030200,NASDAQ,PLTR,PARTNER,NEGATIVE,price,-0.0504,474
KOSPI,010120,NASDAQ,MSFT,PARTNER,POSITIVE,price,0.0109,1413
KOSPI,017670,KOSPI,272210,PARTNER,NEGATIVE,price,-0.0996,714
KOSPI,267250,KOSPI,307950,PARTNER,NEGATIVE,price,-0.1464,714
KOSPI,402340,NASDAQ,CMCSA,PARTNER,POSITIVE,fallback,,0
KOSPI,003490,KOSPI,064400,PARTNER,POSITIVE,fallback,,0
KOSPI,009150,NASDAQ,TSLA,SUPPLY,POSITIVE,price,0.0017,1413
KOSPI,032640,NASDAQ,NVDA,PARTNER,POSITIVE,price,-0.0237,1413
KOSPI,017670,KOSPI,086790,PARTNER,POSITIVE,price,0.0744,1415
KOSPI,055550,KOSPI,079550,PARTNER,NEGATIVE,price,-0.0725,1415
KOSPI,000720,KOSPI,090430,PARTNER,POSITIVE,price,0.0031,1415
KOSPI,017670,NASDAQ,CMCSA,PARTNER,POSITIVE,price,0.0377,1413
KOSPI,032640,KOSPI,175330,PARTNER,POSITIVE,price,0.1004,1415
KOSPI,024110,KOSPI,066570,PARTNER,NEGATIVE,price,-0.0743,1415
KOSPI,373220,NASDAQ,QCOM,PARTNER,POSITIVE,fallback,,0
KOSPI,047810,KOSPI,267250,PARTNER,POSITIVE,price,-0.0145,1182
KOSPI,018260,NASDAQ,AMZN,PARTNER,POSITIVE,price,0.0405,1413
KOSPI,000880,KOSPI,064350,PARTNER,POSITIVE,price,-0.0234,1415
KOSPI,079550,KOSPI,329180,PARTNER,POSITIVE,price,0.0862,235
KOSPI,064400,NASDAQ,GOOGL,PARTNER,POSITIVE,fallback,,0
KOSPI,005830,KOSPI,377300,PARTNER,NEGATIVE,price,-0.1279,235
KOSPI,011070,NASDAQ,MSFT,PARTNER,POSITIVE,price,0.0299,1413
KOSPI,042660,KOSPI,298040,PARTNER,POSITIVE,price,-0.0007,950
KOSPI,064400,NASDAQ,MSFT,PARTNER,POSITIVE,fallback,,0
KOSPI,030200,KOSPI,055550,PARTNER,POSITIVE,price,0.1647,1415
KOSPI,015760,KOSPI,267260,PARTNER,POSITIVE,price,-0.0483,1182
KOSPI,010120,KOSPI,032640,PARTNER,POSITIVE,price,-0.0185,1415
KOSPI,298040,NASDAQ,LIN,PARTNER,POSITIVE,price,0.0027,950
KOSPI,010120,KOSPI,086280,PARTNER,NEGATIVE,price,-0.059,1415
KOSPI,032640,KOSPI,055550,PARTNER,POSITIVE,price,0.1124,1415
KOSPI,012330,KOSPI,267270,PARTNER,NEGATIVE,price,-0.0651,1182
KOSPI,035420,NASDAQ,INTC,PARTNER,POSITIVE,price,-0.0043,1413
KOSPI,010950,KOSPI,028260,PARTNER,POSITIVE,price,-0.0178,1415
KOSPI,030200,NASDAQ,AMD,PARTNER,POSITIVE,price,-0.0358,1413
KOSPI,015760,KOSPI,032640,PARTNER,POSITIVE,price,0.1126,1415
KOSPI,021240,KOSPI,030200,PARTNER,POSITIVE,price,0.0848,1415
KOSPI,005380,KOSPI,010120,PARTNER,NEGATIVE,price,-0.0693,1415
KOSPI,011070,NASDAQ,AAPL,SUPPLY,POSITIVE,price,0.1769,1413
KOSPI,035720,KOSPI,352820,COMPETE,POSITIVE,price,0.2977,474
KOSPI,000720,KOSPI,316140,PARTNER,POSITIVE,price,0.0852,714
KOSPI,017670,NASDAQ,AMZN,PARTNER,NEGATIVE,price,-0.0707,1413
KOSPI,009830,NASDAQ,MSFT,PARTNER,POSITIVE,price,-0.0009,1413
KOSPI,055550,KOSPI,064400,PARTNER,POSITIVE,fallback,,0
KOSPI,047810,KOSPI,329180,PARTNER,POSITIVE,price,0.1359,235
KOSPI,064350,KOSPI,086790,PARTNER,NEGATIVE,price,-0.1199,1415
KOSPI,005490,KOSPI,267250,PARTNER,POSITIVE,price,0.0935,1182
KOSPI,011070,NASDAQ,TSLA,SUPPLY,POSITIVE,price,0.0433,1413
KOSPI,066570,KOSPI,079550,PARTNER,POSITIVE,price,0.0455,1415
