source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,064400,NASDAQ,MSFT,PARTNER,30D,37.5,POSITIVE,0.618,25,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,KOSPI,055550,PARTNER,30D,27.04,POSITIVE,0.685,100,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,015760,KOSPI,267260,PARTNER,30D,27.0825,POSITIVE,0.7,9,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010120,KOSPI,032640,PARTNER,30D,41.73,POSITIVE,0.706,10,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,298040,NASDAQ,LIN,PARTNER,30D,21.01,POSITIVE,0.633,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010120,KOSPI,086280,PARTNER,30D,11.33,NEGATIVE,0.6,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032640,KOSPI,055550,PARTNER,30D,9.6075,POSITIVE,0.659,24,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,012330,KOSPI,267270,PARTNER,30D,29.73,NEGATIVE,0.733,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035420,NASDAQ,INTC,PARTNER,30D,23.07,POSITIVE,0.73,28,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010950,KOSPI,028260,PARTNER,30D,23.8275,POSITIVE,0.652,26,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,NASDAQ,AMD,PARTNER,30D,20.1075,POSITIVE,0.75,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,015760,KOSPI,032640,PARTNER,30D,17.0175,POSITIVE,0.696,17,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,021240,KOSPI,030200,PARTNER,30D,9.0975,POSITIVE,0.629,4,rel-v0.2-typed,2026-09-14T00:00:00Z
